[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Images/blogo.png | ERR: (ThinkException) 无法加载模块Images
[ 2013-03-29T14:38:09+08:00 ] /weibo/admin.php/Images/blogo.png | ERR: (ThinkException) 无法加载模块Images
[ 2013-03-29T14:38:10+08:00 ] /weibo/admin.php/Images/blogo.png | ERR: (ThinkException) 无法加载模块Images
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000370s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000421s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000228s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000261s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000135s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000169s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.003449s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003489s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000170s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000190s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000094s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000207s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000749s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000189s ]
[ 2013-03-29T14:38:24+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000220s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000533s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000607s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000263s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000304s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000148s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000184s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.003653s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003693s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000179s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000201s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000105s ]
[ 2013-03-29T14:39:38+08:00 ] /weibo/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000206s ]
